s,phi,contrast,numerical_residual,analytic_residual,absolute_error,relative_error
0.045,0.6,0.5,0.010373144601906468,0.010373144601906472,3.469446951953614e-18,3.3446433893498095e-16
0.055,0.0,0.0,4.9857131702052346e-18,0.0,4.9857131702052346e-18,
0.055,0.0,0.25,2.2639304460385995e-16,0.0,2.2639304460385995e-16,
0.055,0.0,0.5,3.925231146709438e-17,0.0,3.925231146709438e-17,
0.055,0.024999999999999998,0.0,5.934887598580285e-17,0.0,5.934887598580285e-17,
0.055,0.024999999999999998,0.25,0.0002806414640763138,0.0002806414640763157,1.8973538018496328e-18,6.760775026935005e-15
0.055,0.024999999999999998,0.5,0.0005612829281526318,0.0005612829281526314,3.2526065174565133e-19,5.794950023087147e-16
0.055,0.049999999999999996,0.0,4.9857131702052346e-18,0.0,4.9857131702052346e-18,
0.055,0.049999999999999996,0.25,0.0005611075363728589,0.0005611075363728577,1.1926223897340549e-18,2.125479186117282e-15
0.055,0.049999999999999996,0.5,0.0011222150727457152,0.0011222150727457155,2.168404344971009e-19,1.9322538055611655e-16
0.055,0.075,0.0,4.9857131702052346e-18,0.0,4.9857131702052346e-18,
0.055,0.075,0.25,0.0008412229347240078,0.0008412229347240055,2.2768245622195593e-18,2.7065650117665375e-15
0.055,0.075,0.5,0.0016824458694480108,0.001682445869448011,2.168404344971009e-19,1.2888404817935892e-16
0.055,0.09999999999999999,0.0,3.9519560627161465e-17,0.0,3.9519560627161465e-17,
0.055,0.09999999999999999,0.25,0.0011208125961239385,0.0011208125961239394,8.673617379884035e-19,7.738686565336304e-16
0.055,0.09999999999999999,0.5,0.00224162519224788,0.0022416251922478788,1.3010426069826053e-18,5.804014924002229e-16
0.055,0.12499999999999999,0.0,3.9491755302715265e-17,0.0,3.9491755302715265e-17,
0.055,0.12499999999999999,0.25,0.0013997017861353193,0.0013997017861353206,1.3010426069826053e-18,9.295141435625937e-16
0.055,0.12499999999999999,0.5,0.0027994035722706395,0.0027994035722706413,1.734723475976807e-18,6.196760957083959e-16
0.055,0.15,0.0,4.9857131702052346e-18,0.0,4.9857131702052346e-18,
0.055,0.15,0.25,0.0016777162080926261,0.0016777162080926274,1.3010426069826053e-18,7.75484316541081e-16
0.055,0.15,0.5,0.0033554324161852553,0.003355432416185255,4.336808689942018e-19,1.292473860901802e-16
0.055,0.175,0.0,3.7285004472817634e-17,0.0,3.7285004472817634e-17,
0.055,0.175,0.25,0.001954682112031896,0.0019546821120318965,4.336808689942018e-19,2.2186772279989278e-16
0.055,0.175,0.5,0.003909364224063793,0.003909364224063793,0.0,0.0
0.055,0.19999999999999998,0.0,4.9857131702052346e-18,0.0,4.9857131702052346e-18,
0.055,0.19999999999999998,0.25,0.002230426403278793,0.0022304264032787947,1.734723475976807e-18,7.777541879107559e-16
0.055,0.19999999999999998,0.5,0.00446085280655759,0.004460852806557589,8.673617379884035e-19,1.9443854697768898e-16
0.055,0.22499999999999998,0.0,1.9659445418517023e-17,0.0,1.9659445418517023e-17,
0.055,0.22499999999999998,0.25,0.0025047767506271553,0.002504776750627157,1.734723475976807e-18,6.925661041617619e-16
0.055,0.22499999999999998,0.5,0.005009553501254315,0.005009553501254314,8.673617379884035e-19,1.7314152604044047e-16
0.055,0.24999999999999997,0.0,3.723589210406326e-17,0.0,3.723589210406326e-17,
0.055,0.24999999999999997,0.25,0.0027775616940403803,0.0027775616940403807,4.336808689942018e-19,1.5613725877798517e-16
0.055,0.24999999999999997,0.5,0.005555123388080763,0.0055551233880807615,1.734723475976807e-18,3.1227451755597034e-16
0.055,0.27499999999999997,0.0,4.9857131702052346e-18,0.0,4.9857131702052346e-18,
0.055,0.27499999999999997,0.25,0.0030486107518083645,0.003048610751808365,4.336808689942018e-19,1.4225524486422295e-16
0.055,0.27499999999999997,0.5,0.006097221503616729,0.00609722150361673,8.673617379884035e-19,1.4225524486422295e-16
0.055,0.3,0.0,4.9857131702052346e-18,0.0,4.9857131702052346e-18,
0.055,0.3,0.25,0.003317754527093032,0.0033177545270930333,1.3010426069826053e-18,3.921455298631027e-16
0.055,0.3,0.5,0.006635509054186066,0.006635509054186067,8.673617379884035e-19,1.3071517662103423e-16
0.055,0.32499999999999996,0.0,4.9857131702052346e-18,0.0,4.9857131702052346e-18,
0.055,0.32499999999999996,0.25,0.003584824813795841,0.0035848248137958397,1.3010426069826053e-18,3.629305962109147e-16
0.055,0.32499999999999996,0.5,0.007169649627591679,0.007169649627591679,0.0,0.0
0.055,0.35,0.0,1.772760459589641e-17,0.0,1.772760459589641e-17,
0.055,0.35,0.25,0.0038496547016811113,0.0038496547016811096,1.734723475976807e-18,4.50617941193341e-16
0.055,0.35,0.5,0.007699309403362218,0.007699309403362219,8.673617379884035e-19,1.1265448529833526e-16
0.055,0.37499999999999994,0.0,7.757919228897728e-18,0.0,7.757919228897728e-18,
0.055,0.37499999999999994,0.25,0.004112078680689498,0.004112078680689498,0.0,0.0
0.055,0.37499999999999994,0.5,0.008224157361378997,0.008224157361378995,1.734723475976807e-18,2.1093023877718401e-16
0.055,0.39999999999999997,0.0,4.9857131702052346e-18,0.0,4.9857131702052346e-18,
0.055,0.39999999999999997,0.25,0.004371932744376393,0.004371932744376395,1.734723475976807e-18,3.96786404870518e-16
0.055,0.39999999999999997,0.5,0.00874386548875279,0.00874386548875279,0.0,0.0
0.055,0.425,0.0,5.955722705440173e-17,0.0,5.955722705440173e-17,
0.055,0.425,0.25,0.004629054492410614,0.004629054492410611,2.6020852139652106e-18,5.621202382109262e-16
0.055,0.425,0.5,0.009258108984821222,0.009258108984821222,0.0,0.0
0.055,0.44999999999999996,0.0,4.9857131702052346e-18,0.0,4.9857131702052346e-18,
0.055,0.44999999999999996,0.25,0.0048832832320693,0.004883283232069298,1.734723475976807e-18,3.5523712091582196e-16
0.055,0.44999999999999996,0.5,0.009766566464138596,0.009766566464138596,0.0,0.0
0.055,0.475,0.0,4.6870523018482056e-17,0.0,4.6870523018482056e-17,
0.055,0.475,0.25,0.0051344600786656725,0.005134460078665673,8.673617379884035e-19,1.6892949301376411e-16
0.055,0.475,0.5,0.010268920157331347,0.010268920157331347,0.0,0.0
0.055,0.49999999999999994,0.0,1.7660077157018407e-17,0.0,1.7660077157018407e-17,
0.055,0.49999999999999994,0.25,0.005382428054846773,0.005382428054846773,0.0,0.0
0.055,0.49999999999999994,0.5,0.010764856109693546,0.010764856109693546,0.0,0.0
0.055,0.5249999999999999,0.0,4.13989682826094e-17,0.0,4.13989682826094e-17,
0.055,0.5249999999999999,0.25,0.00562703218869919,0.00562703218869919,0.0,0.0
0.055,0.5249999999999999,0.5,0.01125406437739838,0.01125406437739838,0.0,0.0
0.055,0.5499999999999999,0.0,4.13997226907724e-17,0.0,4.13997226907724e-17,
0.055,0.5499999999999999,0.25,0.005868119610601474,0.005868119610601474,0.0,0.0
0.055,0.5499999999999999,0.5,0.011736239221202947,0.011736239221202947,0.0,0.0
0.055,0.575,0.0,4.103617798886227e-17,0.0,4.103617798886227e-17,
0.055,0.575,0.25,0.006105539648762673,0.006105539648762672,8.673617379884035e-19,1.4206143729886024e-16
0.055,0.575,0.5,0.012211079297525344,0.012211079297525344,0.0,0.0
0.055,0.6,0.0,4.9857131702052346e-18,0.0,4.9857131702052346e-18,
0.055,0.6,0.25,0.006339143923387287,0.006339143923387288,8.673617379884035e-19,1.3682632047340131e-16
0.055,0.6,0.5,0.012678287846774576,0.012678287846774576,0.0,0.0
0.067,0.0,0.0,4.3920176272001786e-17,0.0,4.3920176272001786e-17,
0.067,0.0,0.25,0.0,0.0,0.0,
0.067,0.0,0.5,2.3013707539344676e-16,0.0,2.3013707539344676e-16,
0.067,0.024999999999999998,0.0,4.912951373569008e-17,0.0,4.912951373569008e-17,
0.067,0.024999999999999998,0.25,0.000341872328965694,0.0003418723289656937,2.710505431213761e-19,7.92841421069137e-16
0.067,0.024999999999999998,0.5,0.0006837446579313869,0.0006837446579313874,5.421010862427522e-19,7.92841421069137e-16
0.067,0.049999999999999996,0.0,7.566972196944413e-17,0.0,7.566972196944413e-17,
0.067,0.049999999999999996,0.25,0.0006835309988542071,0.0006835309988542086,1.4094628242311558e-18,2.0620320462331838e-15
0.067,0.049999999999999996,0.5,0.0013670619977084113,0.0013670619977084171,5.854691731421724e-18,4.2826819421766124e-15
0.067,0.075,0.0,4.9220265151641435e-17,0.0,4.9220265151641435e-17,
0.067,0.075,0.25,0.001024762484118332,0.0010247624841183342,2.168404344971009e-18,2.116006761153654e-15
0.067,0.075,0.5,0.0020495249682366662,0.0020495249682366684,2.168404344971009e-18,1.058003380576827e-15
0.067,0.09999999999999999,0.0,2.226108591117792e-16,0.0,2.226108591117792e-16,
0.067,0.09999999999999999,0.25,0.0013653535261873438,0.0013653535261873445,6.505213034913027e-19,4.764489862986903e-16
0.067,0.09999999999999999,0.5,0.002730707052374687,0.002730707052374689,2.168404344971009e-18,7.940816438311506e-16
0.067,0.12499999999999999,0.0,2.251299457087274e-16,0.0,2.251299457087274e-16,
0.067,0.12499999999999999,0.25,0.0017050912667466638,0.0017050912667466635,2.168404344971009e-19,1.271723330744842e-16
0.067,0.12499999999999999,0.5,0.0034101825334933215,0.003410182533493327,5.637851296924623e-18,1.6532403299682947e-15
0.067,0.15,0.0,2.1899052624617602e-17,0.0,2.1899052624617602e-17,
0.067,0.15,0.25,0.002043763380767384,0.0020437633807673826,1.3010426069826053e-18,6.365916031307381e-16
0.067,0.15,0.5,0.004087526761534763,0.004087526761534765,1.734723475976807e-18,4.243944020871588e-16
0.067,0.175,0.0,4.375405313015917e-17,0.0,4.375405313015917e-17,
0.067,0.175,0.25,0.002381158209202493,0.002381158209202492,8.673617379884035e-19,3.6426044041773444e-16
0.067,0.175,0.5,0.004762316418404982,0.004762316418404984,2.6020852139652106e-18,5.463906606266017e-16
0.067,0.19999999999999998,0.0,7.110550178053068e-17,0.0,7.110550178053068e-17,
0.067,0.19999999999999998,0.25,0.002717064891266894,0.0027170648912668953,1.3010426069826053e-18,4.788411977808759e-16
0.067,0.19999999999999998,0.5,0.005434129782533794,0.005434129782533791,3.469446951953614e-18,6.384549303745011e-16
0.067,0.22499999999999998,0.0,4.1606313844620745e-17,0.0,4.1606313844620745e-17,
