gate,s,budget,sample_size,primary,affinity,lower,upper
support,0.122,0.5,33.59312012899758,0.28185143082538655,0.8464817248906141,0.28185143082538655,0.28185143082538655
dictionary,0.122,0.5,151639.0,0.9839615695128279,0.9839615695128279,0.4108097122413932,0.49198078475641394
parent,0.122,1.0,0.25,0.3722086834292382,0.9482462897598418,0.3722086834292382,0.3722086834292382
support,0.122,1.0,67.18624025799517,0.2071080891212626,0.7165313105737893,0.2071080891212626,0.2071080891212626
dictionary,0.122,1.0,303278.0,0.9681803702781476,0.9681803702781476,0.37487329360996813,0.4840901851390738
parent,0.122,2.0,0.5,0.3223825561079201,0.8991710260433059,0.3223825561079201,0.3223825561079201
support,0.122,2.0,134.37248051599033,0.12410653949496186,0.513417119032592,0.12410653949496186,0.12410653949496186
dictionary,0.122,2.0,606556.0,0.9373732293919311,0.9373732293919311,0.3258366938622388,0.46868661469596556
parent,0.122,4.0,1.0,0.2571946277240289,0.8085085340757715,0.2571946277240289,0.2571946277240289
support,0.122,4.0,268.74496103198067,0.051235217429874684,0.26359713811572677,0.051235217429874684,0.051235217429874684
dictionary,0.122,4.0,1213112.0,0.878668571180658,0.878668571180658,0.26128388092792054,0.439334285590329
parent,0.122,8.0,2.0,0.1782399381375735,0.653686049673353,0.1782399381375735,0.1782399381375735
support,0.122,8.0,537.4899220639613,0.010460667668897016,0.06948345122280154,0.010460667668897016,0.010460667668897016
dictionary,0.122,8.0,2426225.0,0.7720583756602883,0.7720583756602883,0.18222418886391106,0.38602918783014417
parent,0.122,16.0,4.0,0.09611049283653639,0.4273054515375532,0.09611049283653639,0.09611049283653639
support,0.122,16.0,1074.9798441279227,0.000545417588062648,0.004827949993831441,0.000545417588062648,0.000545417588062648
dictionary,0.122,16.0,4852449.0,0.5960741989833345,0.5960741989833345,0.09853532244219287,0.29803709949166723
parent,0.122,32.0,8.0,0.032577965443806936,0.18258994891371225,0.032577965443806936,0.032577965443806936
support,0.122,32.0,2149.9596882558453,1.929808218464226e-06,2.3309101142937016e-05,1.929808218464226e-06,1.929808218464226e-06
dictionary,0.122,32.0,9704898.0,0.35530445069362393,0.35530445069362393,0.03262468311930983,0.17765222534681196
parent,0.122,64.0,16.0,0.004552664832508783,0.03333908944431205,0.004552664832508783,0.004552664832508783
support,0.122,64.0,4299.919376511691,3.2454506079005654e-11,5.433141960916677e-10,3.2454506079005654e-11,3.2454506079005654e-11
dictionary,0.122,64.0,19409797.0,0.12624123922228347,0.12624123922228347,0.004000214334818952,0.06312061961114174
parent,0.122,128.0,32.0,0.0001128461062910338,0.0011114948849758391,0.0001128461062910338,0.0001128461062910338
support,0.122,128.0,8599.838753023381,1.2603888836154312e-20,2.9519031567473517e-19,1.2603888836154312e-20,1.2603888836154312e-20
dictionary,0.122,128.0,38819594.0,0.01593685048037785,0.01593685048037785,6.349983303727269e-05,0.007968425240188926
