jeffreys,affinity_deficit,likelihood_ratio_second_moment,maximum_absolute_likelihood_ratio,batch,batch_size,s,actual_angle
2.187897718022244e-09,2.734872130565211e-10,2.1878977723025437e-09,0.001068193533576789,85,8192,0.045,0.30618621784789724
2.213833190517612e-09,2.7672914628091684e-10,2.2138332715987212e-09,0.0013771380100724429,86,8192,0.045,0.30618621784789724
2.2291654713252244e-09,2.786456825226077e-10,2.2291655159026766e-09,0.0009424906991846171,87,8192,0.045,0.30618621784789724
1.68915340280657e-09,2.111441745560654e-10,1.689153428238758e-09,0.000881170879464932,88,8192,0.045,0.30618621784789724
2.5001105615926324e-09,3.125138167514465e-10,2.5001106719168755e-09,0.0016483726249258979,89,8192,0.045,0.30618621784789724
1.8469216151302685e-09,2.308652009066292e-10,1.8469216466392077e-09,0.0010196251563741043,90,8192,0.045,0.30618621784789724
2.242675436922301e-09,2.80334427738495e-10,2.2426754969796664e-09,0.0011788127271561422,91,8192,0.045,0.30618621784789724
2.289039016651452e-09,2.861298749767803e-10,2.289039084000293e-09,0.0013257432754283371,92,8192,0.045,0.30618621784789724
2.0446293663098266e-09,2.55578668657767e-10,2.044629434500593e-09,0.0012481228560830004,93,8192,0.045,0.30618621784789724
2.179958042821535e-09,2.724947535506796e-10,2.1799581004859254e-09,0.0010096809836372955,94,8192,0.045,0.30618621784789724
2.554706248392867e-09,3.193382780079264e-10,2.5547063457106883e-09,0.001390937374619483,95,8192,0.045,0.30618621784789724
2.6081710895055398e-09,3.2602138209349877e-10,2.6081712205357406e-09,0.0015393572282125234,96,8192,0.045,0.30618621784789724
2.825098955124186e-09,3.53137361189749e-10,2.8250992175489724e-09,0.0019247331812710655,97,8192,0.045,0.30618621784789724
2.409640006570299e-09,3.012049980638667e-10,2.4096400948077625e-09,0.0012955362767925749,98,8192,0.045,0.30618621784789724
2.2158416636171082e-09,2.7698020408759755e-10,2.2158417872824255e-09,0.0016335899544195343,99,8192,0.045,0.30618621784789724
1.6762587303123108e-09,2.0953234048504453e-10,1.6762587560401286e-09,0.0008741269722829514,100,8192,0.045,0.30618621784789724
2.1168890037168023e-09,2.646111244008247e-10,2.1168890377576184e-09,0.0008251118060993434,101,8192,0.045,0.30618621784789724
2.347821124844117e-09,2.9347763684126885e-10,2.347821245299986e-09,0.0017063887750765616,102,8192,0.045,0.30618621784789724
2.015212941701368e-09,2.519016158060122e-10,2.015213002714449e-09,0.0011755882219954827,103,8192,0.045,0.30618621784789724
