s,h,jeffreys,affinity_deficit,likelihood_ratio_second_moment,maximum_absolute_likelihood_ratio,batch,batch_size
0.082,0.35,1.9331683188302293e-07,2.4164571419658375e-08,1.933178739878228e-07,0.016309749215531966,13,8192
0.082,0.35,1.723954761220261e-07,2.1549418434618664e-08,1.723959907027745e-07,0.012537538896424394,14,8192
0.082,0.35,1.5135996150765206e-07,1.8919987995838007e-08,1.5136019167153704e-07,0.009256619442371772,15,8192
0.082,0.35,1.448578769445642e-07,1.8107226209009235e-08,1.4485814603468419e-07,0.010609145965696953,16,8192
0.082,0.35,1.8188498293235686e-07,2.2735610521754406e-08,1.8188537796586877e-07,0.010527796682758606,17,8192
0.082,0.35,1.3129811722641253e-07,1.641226043047524e-08,1.312982523568892e-07,0.007545442924740797,18,8192
0.082,0.35,1.7443849794323526e-07,2.18047719717746e-08,1.7443978662226146e-07,0.01778573725965238,19,8192
0.082,0.35,1.5912548178191127e-07,1.989066810592903e-08,1.5912602952041457e-07,0.013229733589650294,20,8192
0.082,0.35,1.8886301188332161e-07,2.360785268275402e-08,1.8886377356926627e-07,0.013564022007654941,21,8192
0.082,0.35,1.7764376144672775e-07,2.2205447069593653e-08,1.7764450100761013e-07,0.014505584900007307,22,8192
0.082,0.35,1.6419178577034738e-07,2.0523960420199042e-08,1.641921954056348e-07,0.010751174550106768,23,8192
0.082,0.35,1.3145870362069676e-07,1.643233053514478e-08,1.3145894097898078e-07,0.009605546401967757,24,8192
0.082,0.35,1.687214946355917e-07,2.109017017997452e-08,1.6872202741924545e-07,0.01170237036895827,25,8192
0.082,0.35,1.8990894328860659e-07,2.373860241371653e-08,1.899094392043859e-07,0.0100336965532275,26,8192
0.082,0.35,2.127503476660815e-07,2.6593766712488697e-08,2.1275120353162646e-07,0.013446040274761373,27,8192
0.082,0.35,1.2326345591358326e-07,1.5407928268449416e-08,1.2326357497756215e-07,0.007113693894584827,28,8192
0.082,0.35,1.3483513739709743e-07,1.68543852376082e-08,1.348353593821197e-07,0.009326716607606755,29,8192
0.082,0.35,1.6852592326120595e-07,2.1065728537955086e-08,1.6852630309166937e-07,0.009532330530893418,30,8192
0.082,0.35,1.5909010458587182e-07,1.988625704342791e-08,1.5909029753971912e-07,0.007820981580868747,31,8192
0.082,0.45,2.0118436759389015e-07,2.514803472666051e-08,2.0118472671646128e-07,0.008973513817506884,0,8192
0.082,0.45,2.544940585657382e-07,3.1811734941746525e-08,2.5449477469334713e-07,0.012140267900090151,1,8192
0.082,0.45,1.9270922963736468e-07,2.408864667000437e-08,1.9270945474673508e-07,0.006509508930538033,2,8192
0.082,0.45,2.475554931136247e-07,3.094440102552809e-08,2.4755663275294197e-07,0.016140930823674182,3,8192
